Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
13-FEB-2025,23195.3,23485.8,23188.45,23272.4,102247614,12416.08
14-FEB-2025,23321.8,23368.2,22998.6,23186.9,78403905,8512.22
17-FEB-2025,23053.6,23293.8,22958.55,23271,69822796,7379.68
18-FEB-2025,23258.5,23311.15,23092.5,23280.3,66079525,7401.18
19-FEB-2025,23197.15,23501.4,23158.4,23456.2,67661048,7285.26
20-FEB-2025,23321.3,23396.05,23227.6,23281.4,77243639,8472.22
21-FEB-2025,23189.65,23288,23030.9,23174.35,65057546,7147.22
24-FEB-2025,22996.7,23049.05,22842.6,22995.2,61210092,6694.74
25-FEB-2025,23008.1,23121.25,23002.6,23036.05,71440981,8658.36
27-FEB-2025,23081.8,23261.65,23081.75,23173.65,110087746,13276.3
28-FEB-2025,23034.3,23128.75,22925.85,23028.95,170534479,18259.14
03-MAR-2025,23117.8,23159.95,22855.6,22953,89446358,8862.4
04-MAR-2025,22865,23076.45,22861.05,23028.45,86836917,8884.91
05-MAR-2025,22985.8,23126.7,22952.25,23050.6,87215729,9873.92
06-MAR-2025,23175.5,23198.65,22942.4,23163,95011325,10871.88
07-MAR-2025,23089.35,23235.95,23066.55,23136.2,64206499,6684.96
10-MAR-2025,23110,23288,23015.4,23056.85,65576004,7383.56
11-MAR-2025,22992.35,23258.55,22934.55,23203.35,68039909,7834.16
12-MAR-2025,23254.45,23365.9,23200.6,23327.9,71215136,9486.59
13-MAR-2025,23399.15,23458.2,23262.9,23290,62169251,7484.97
17-MAR-2025,23313.65,23567.7,23305.45,23529.25,70394302,9323.48
18-MAR-2025,23744.65,24008.2,23678.25,23969.7,82362395,10493.77
19-MAR-2025,23994,24199.35,23968.45,24140.35,76648956,9428.38
20-MAR-2025,24263.45,24352.45,24131,24309,70206106,8611.3
21-MAR-2025,24316.7,24604.4,24294.55,24567.95,157362415,22746.9
24-MAR-2025,24759.7,25101.3,24673.15,25057.55,90875475,11383.82
25-MAR-2025,25158.65,25297.35,25006.45,25086,116757030,15252.75
26-MAR-2025,25114.45,25151.35,24769.45,24829.6,75954477,9516.12
27-MAR-2025,24775.05,25101.05,24764.3,25011.15,113791180,15926.54
28-MAR-2025,25034.05,25199.05,24937.35,25074.9,104386075,9988.69
01-APR-2025,24855.7,24998.05,24516.4,24529.4,98810050,10597.26
02-APR-2025,24582.45,24772.1,24577.3,24750.05,71643598,6611.5
03-APR-2025,24550.95,24795.85,24548.6,24724.95,65577011,6727.86
04-APR-2025,24792.15,24942.55,24718.75,24774.3,99793583,10925
07-APR-2025,23767.25,24216.4,23546.5,23908.45,161403783,15405.16
08-APR-2025,24143.75,24403.45,24044,24301.5,135686266,13504.08
09-APR-2025,24297.35,24301.35,23991.35,24132.65,108130401,11269.15
11-APR-2025,24319.2,24698.6,24319.2,24555.55,119084140,12519.79
15-APR-2025,25215.85,25333.05,25035.6,25280.65,131963884,14581.77
16-APR-2025,25401.7,25514.4,25287.6,25492.1,122132029,11437.75
17-APR-2025,25509.65,26116.4,25470.85,26071.6,148289851,15732.24
21-APR-2025,26341.8,26527.7,26224.65,26435.1,147713223,15660.83
22-APR-2025,26519.15,26726.35,26459.25,26624.8,144340346,16420.29
23-APR-2025,26819.1,26819.1,26346.25,26446.2,129052731,13147.53
24-APR-2025,26378.9,26473.95,26266,26305.65,107019522,12904.93
25-APR-2025,26354.7,26430.25,25789.85,26036.1,144687001,14223.84
28-APR-2025,25990,26346.9,25961.65,26291.65,120221911,11850.21
29-APR-2025,26313.5,26447.2,26133.85,26193.85,90355376,10164.94
30-APR-2025,26162.05,26247.75,25943.7,26113.55,145366601,17055.81
